Node,Followers,Following,Posts,Brand,Follower
0,230,15,35,1,0
1,387,16,41,1,0
2,734,695,250,1,0
3,925,1,192,1,0
4,1094,123,166,1,0
5,1156,3424,156,1,0
6,1167,40,80,1,0
7,1477,157,373,1,0
8,2069,758,303,1,0
9,2199,2070,839,1,0
10,2437,36,132,1,0
11,2626,27,115,1,0
12,3021,258,322,1,0
13,3074,203,1084,1,0
14,3135,12,386,1,0
15,3301,1288,1330,1,0
16,3369,351,135,1,0
17,3416,1995,1156,1,0
18,3558,739,930,1,0
19,3562,532,141,1,0
20,3679,305,543,1,0
21,3750,1219,1002,1,0
22,3939,560,2614,1,0
23,3992,299,784,1,0
24,4025,176,460,1,0
25,4055,650,1092,1,0
26,4090,3431,456,1,0
27,4228,2290,710,1,0
28,4347,1243,1266,1,0
29,4417,1376,133,1,0
30,4525,657,704,1,0
31,4639,613,602,1,0
32,4657,192,94,1,0
33,4662,15,950,1,0
34,4673,1382,394,1,0
35,4859,195,791,1,0
36,5200,1018,920,1,0
37,5270,714,774,1,0
38,5308,263,412,1,0
39,5429,780,706,1,0
40,5468,1072,755,1,0
41,5599,381,1446,1,0
42,5625,1788,327,1,0
43,6022,116,977,1,0
44,6325,440,658,1,0
45,6548,4812,1149,1,0
46,6661,475,475,1,0
47,6667,211,466,1,0
48,6752,727,506,1,0
49,6933,38,130,1,0
50,6946,180,1846,1,0
51,6987,196,176,1,0
52,7035,941,608,1,0
53,7075,1428,680,1,0
54,7152,1570,622,1,0
55,7660,287,928,1,0
56,7707,642,236,1,0
57,7737,215,213,1,0
58,7945,1063,778,1,0
59,8271,948,310,1,0
60,8641,2756,966,1,0
61,8656,193,1395,1,0
62,8821,611,1373,1,0
63,9003,301,284,1,0
64,9235,826,280,1,0
65,9579,804,576,1,0
66,9755,816,718,1,0
67,10374,849,898,1,0
68,10559,221,860,1,0
69,10865,290,133,1,0
70,11272,389,767,1,0
71,11299,393,1199,1,0
72,11342,1300,912,1,0
73,11368,682,403,1,0
74,11398,966,1764,1,0
75,11812,939,1790,1,0
76,12093,640,915,1,0
77,12446,1792,709,1,0
78,12540,610,580,1,0
79,12583,1642,805,1,0
80,12969,838,1258,1,0
81,13443,821,460,1,0
82,13598,1097,1187,1,0
83,14050,4791,250,1,0
84,14444,5990,5462,1,0
85,14453,1786,3261,1,0
86,14766,729,1056,1,0
87,14873,156,476,1,0
88,15076,131,514,1,0
89,16004,846,769,1,0
90,16496,91,1058,1,0
91,16651,270,595,1,0
92,17112,2428,743,1,0
93,17122,5987,1077,1,0
94,17338,1493,1239,1,0
95,17553,1569,610,1,0
96,17862,266,1116,1,0
97,17950,494,1956,1,0
98,18584,1098,1649,1,0
99,18592,279,512,1,0
100,19231,426,152,1,0
101,19249,2673,724,1,0
102,19733,242,1106,1,0
103,20019,7278,3524,1,0
104,20118,1764,1831,1,0
105,20196,814,1444,1,0
106,20374,834,715,1,0
107,20547,2790,274,1,0
108,20745,436,363,1,0
109,20961,771,245,1,0
110,21959,242,864,1,0
111,22051,714,2001,1,0
112,22080,849,755,1,0
113,22513,593,309,1,0
114,22629,4371,1147,1,0
115,23174,70,1207,1,0
116,23310,921,2461,1,0
117,23315,831,397,1,0
118,24093,2205,1590,1,0
119,24341,961,2558,1,0
120,24779,546,1324,1,0
121,24797,3633,60,1,0
122,25207,1538,1636,1,0
123,25211,921,1657,1,0
124,1298,529,110,0,1
125,1580,532,210,0,1
126,745,228,74,0,1
127,2951,221,185,0,1
128,1706,358,111,0,1
129,1523,847,36,0,1
130,406,861,173,0,1
131,2727,844,292,0,1
132,121,180,220,0,1
133,2144,240,160,0,1
134,174,98,273,0,1
135,815,130,95,0,1
136,1254,796,96,0,1
137,2913,621,105,0,1
138,1600,711,178,0,1
139,1368,353,234,0,1
140,2305,291,244,0,1
141,321,635,152,0,1
142,1639,682,52,0,1
143,52,764,154,0,1
144,2272,605,143,0,1
145,107,753,17,0,1
146,2064,345,41,0,1
147,2438,804,116,0,1
148,399,967,152,0,1
149,2046,800,0,0,1
150,2787,503,179,0,1
151,1352,100,262,0,1
152,2805,92,93,0,1
153,2093,811,145,0,1
154,918,206,2,0,1
155,1465,21,250,0,1
156,235,821,116,0,1
157,586,825,90,0,1
158,2921,962,56,0,1
159,138,986,88,0,1
160,665,920,20,0,1
161,718,519,30,0,1
