Brand,Followers,Following,Posts,Website,IDK,Category,Username,Followers 1,Followers 2,Followers 3,Followers 4,Followers 5,Subcategoty,Comments,Location,New username
Dormez-vous,230,15,35,https://www.dormezvous.com/,TRUE,Personal Goods & General Merchandise Stores,dormezvousqc,andreortvcu,emiedagenais302,joseedaigneault1979,raphaelle_lajoie,neron_133,Home Product,,,
DIGEL the menswear concept,387,16,41,http://www.digel.de/,TRUE,Personal Goods & General Merchandise Stores,digelofficial,tamanteterzo,bradly_muller,cerva.ntes2,joelvlummel,lorenzopariorappresentanze,Clothing,Men,,digel.official
Arsante of Sweden | Bags,734,695,250,http://www.arsante.com/,TRUE,Personal Goods & General Merchandise Stores,arsantesweden,mycozysweden,thechicadvocate,annamariabery,eleftheria_michalianou,nilsgrubba,Bags/Luggage,,,
BORGHESE Hong Kong,925,1,192,http://www.borghese.com.hk/,TRUE,Personal Goods & General Merchandise Stores,borghesehongkong,as_mandyy,twiggyli12,hilla.ip,abbyanna0127,lesleychianglove,eva_b,,,
alpenclassics,1094,123,166,https://www.alpenclassics.de/,TRUE,Personal Goods & General Merchandise Stores,alpenclassics,bergmadl_sandra,edelweiss.trieste,carina_318_,wolf_widestar,ute.klein1963,Clothing,,,
Alessandro Gilles,1156,3424,156,https://www.alessandrogilles.it/,TRUE,Personal Goods & General Merchandise Stores,alessandrogillesofficial,rikkardo_fb,alb.e.r.t.o,paolopapamendelssohn,cinieri.antonio,gabrielepecin,Clothing,Men,,alessandrogilles_official
A Bicyclette,1167,40,80,http://www.a-bicyclette-vegetal.fr/recettes/,TRUE,Personal Goods & General Merchandise Stores,abicyclettefr,bergmadl_sandra,bianca_maier08,wolf_widestar,jasminwinhart,kati_lx,Clothing,,,
BeCause Cosmetics,1477,157,373,https://linkin.bio/becausecosmetics,TRUE,Personal Goods & General Merchandise Stores,becausecosmetics,amyperrin_bosslady,_smariee3,luciadaweperfect_finish_makeup,sassystyleover40,anareczynski,Beauty,,,
Accurist,2069,758,303,http://www.accurist.co.uk/,TRUE,Personal Goods & General Merchandise Stores,accuristwatches,ken.drake.14,_millyhughes,alisherusmonov97,nathaphat289,,Clothing,Watch,,
Active Edge,2199,2070,839,http://ow.ly/FEEH30lHX2q,TRUE,Personal Goods & General Merchandise Stores,activeedgeofficial,rosy.runs,happy_bionicrunner,seaside_runner,mallorcacyclingtours,fahey_niamh,Supplements,,,
4F official account,2437,36,132,http://www.4f.com.pl/,TRUE,Personal Goods & General Merchandise Stores,4f_official,karl_m90,michaelchavarriaflores,khaled_naga7,leticia_andaluz,anastazja_burzynska_ellis,Clothing,Athletic,,
Edy's Ice Cream,2626,27,115,https://www.edys.com/,TRUE,Personal Goods & General Merchandise Stores,edys,ashleynicolearvie,ityogurljayy,kaitlynmbrennan,captainraehawke,tabby.lynn.britt,Food,Icecream,,
devotelondon,3021,258,322,http://www.devotelondon.com/,TRUE,Personal Goods & General Merchandise Stores,devotelondon,adambray89,thisisabdmalik,iamthomaspowell,johnnyoutlawfitness,shreddy_fit,Clothing,Fitness,,
Antoine et Lili,3074,203,1084,http://www.antoineetlili.com/,TRUE,Personal Goods & General Merchandise Stores,antoineetlili,nadine_bovary,alimillerstudios,jenwrennywi,latouchturkoiz,emmaalves99,Clothing,Women,,
bruno banani Official,3135,12,386,http://www.brunobanani.com/,TRUE,Personal Goods & General Merchandise Stores,brunobananiofficial,the_timooo,zigosi,missgermany__,ren_schade,random,Clothing,Underwear,,
Aventura Clothing,3301,1288,1330,http://bit.ly/shopaventura,TRUE,Personal Goods & General Merchandise Stores,aventuraclothing,ifnotforamoment,cmay1919,ashlanamelia,anneveliss,gratefuljenn_74,Clothing,Ecofriendly,,
ara Shoes,3369,351,135,http://www.ara-shoes.de/,TRUE,Personal Goods & General Merchandise Stores,arashoes,leonieloh_,jakobnawka,dominitad,verena_schneider_official,monilorbi,Clothing,Shoes,,
900 North Michigan Shops,3416,1995,1156,http://www.shop900.com/,TRUE,Personal Goods & General Merchandise Stores,900shops,theonlyinfini34,tylerjohnmumm,nataliedpacini,cjvosters,aefitzsimons,Clothing,Retail,"Chicago, IL",
B.Tempt'd,3558,739,930,http://bit.ly/btemptd-FeelYourBestAW18-IG-Win,TRUE,Personal Goods & General Merchandise Stores,btemptduk,precipessa_idhar,alice_inthe_looking_glass,girltalkwithlaura,baldbooblessandbeautiful,ysabelerivard,Clothing,Underwear,,
AcneFreeÂ®,3562,532,141,http://acnefree.com/,TRUE,Personal Goods & General Merchandise Stores,acnefree,amplebeauty.ng,dr_hurain_ali,flawlessfacesbylydia,luis_simo_1,megankristinebeauty,Beauty,Skincare,,
Abt Electronics,3679,305,543,http://blog.abt.com/,TRUE,Personal Goods & General Merchandise Stores,abtelectronics,cy871256,carol_peters_homes,codycarson_,danny_rigoni,jt.pozzie_,Auto,repair,,
Antler UK,3750,1219,1002,http://www.antler.co.uk/grablife,TRUE,Personal Goods & General Merchandise Stores,antlerofficial,bree_eichorn,girlandtwodogs,nocruisecontrol85,thread_combos,hollieanneallen,Bags/Luggage,,,
Anything Bling Boutique,3939,560,2614,http://www.anything-bling.com/,TRUE,Personal Goods & General Merchandise Stores,anythingbling,boardwalktl,nikisa14,clauli_,strongpetal4u,gracelyn.wright,Clothing,Retail,"Houston, TX",
Acme Markets,3992,299,784,http://www.acmemarkets.com/,TRUE,Personal Goods & General Merchandise Stores,acmemarkets,knowyourproduce,joanner492,lil.0415,pufafreeliving,thephillyfoodfanatic,Food,Retail,"PA, DE, NJ, NY, CT & MD",
b.tempt'd,4025,176,460,https://btemptd.wacoal-america.com/future-foundation-wire-free-balconette-btemptd-952250-p.html,TRUE,Personal Goods & General Merchandise Stores,btemptdbras,drycleanonlynyc,amanda.carducci,minutritionist,amparomodels,ay_me_bel4,Clothing,Underwear,,
Ellie Mae Studios,4055,650,1092,https://youtu.be/zF5zPy6dRNk,TRUE,Personal Goods & General Merchandise Stores,elliemaestudios,manjit.minhas,shopthecompany,tanytchristabel,andraelenadiaconu,nataliesorichettiphoto,Clothing,Women,,
BECYCLE,4090,3431,456,https://beintheknow.becycle.de/blog/how-to-stick-to-your-new-workout-plan?mc_cid=8ad9e5d123&mc_eid=5acdc62cfa,TRUE,Personal Goods & General Merchandise Stores,becycleberlin,mariya_volchok,chelseabayer,becccc__,studiolaragrand,elise_machin,Clothing,Fitness,,
24iceland,4228,2290,710,http://www.24iceland.is/,TRUE,Personal Goods & General Merchandise Stores,24iceland,_inspired.by.photography_,hina_baniya,nietuszka,tatyanagud97,kyanasue,Clothing,Watch,Iceland,
Centre Rockland,4347,1243,1266,http://www.centrerockland.com/,TRUE,Personal Goods & General Merchandise Stores,centrerockland,bienvenue_chez_angie,davidfto25,jkakoske,oxana_s,noricarrasquel,Clothing,Retail,Montréal,
The Chesterfield Brand,4417,1376,133,http://www.chesterfieldbags.com/,TRUE,Personal Goods & General Merchandise Stores,chesterfieldbags,isa_vh__,franky.dewaele,emiliaseyen,ande_w,kiara_ars,Bags/Luggage,,Netherland,
ALIAS MAE,4525,657,704,http://www.aliasmae.com/,TRUE,Personal Goods & General Merchandise Stores,aliasmaeusa,jen_mckenzie6,heidi_streeter_,ejwarfel79,sophiaigianni,celiafarissier,Clothing,Shoes,Australia,
After Eden Lingerie,4639,613,602,http://www.aftereden.nl/,TRUE,Personal Goods & General Merchandise Stores,afteredenlingerie,xe.smeee,jenniferpeterrs,valerija_samoylenko,piekfeinkim,anatsayaa,Clothing,Underwear,,
ApotheCARE Essentials,4657,192,94,https://www.apothecareessentials.com/,TRUE,Personal Goods & General Merchandise Stores,apothecareessentials,cammiescott,may_arabel,mamii_cai,bysssarah,masha_terra,Beauty,Skincare,,
T W E N T Y F I V E â„¢,4662,15,950,https://www.twentyfiveapparel.com/,TRUE,Personal Goods & General Merchandise Stores,25apparel,krystalstawarz,guyala_lala,jacmat70,temmii_jaydee8,gals7921,Clothing,Fitness,,
Beehive Cheese Co.,4673,1382,394,http://www.beehivecheese.com/,TRUE,Personal Goods & General Merchandise Stores,beehivecheese,shelbeemulder,grazingtheory,stlawrencefood,virginiakatherine81,chefdanshearman,Food,Cheese,UT,bitchnbrowsnorge
Bitchn' Brows,4859,195,791,https://bitchnbrows.no/,TRUE,Personal Goods & General Merchandise Stores,bitchnbrows,touchfredrikstad,im_aanastasia_,aks_saks_heidi,siljesarah_hud,astridoll_,Beauty,Retail,Norway,
3WISHES.COM,5200,1018,920,https://www.3wishes.com/,TRUE,Personal Goods & General Merchandise Stores,3wisheslingerie,emeii_insta,mcb_movement,vialoraine,marcialeonc_,ruticat86400,Clothing,Underwear,,
British Knights,5270,714,774,http://bit.ly/win-money-back,TRUE,Personal Goods & General Merchandise Stores,bkfootwear_official,roger_anglada,miriam.perezgonzalez.522,anusketta,diane_vilarem,lorena.lydiaa,Clothing,Shoes,,
Eternal FleurÂ®,5308,263,412,https://EternalFleur.com/,TRUE,Personal Goods & General Merchandise Stores,eternalfleur,inne_widzenie_swiata,samuelr_95,canerkarabag2020,katielynnwalsh,rone_silva_usa,Flower,,,
Alterre Shoes,5429,780,706,https://www.alterreny.com/,TRUE,Personal Goods & General Merchandise Stores,alterreny,nickylee6,misskitten_d.amore,maria.gelk,rubyroxxmodelofficial,brenda.d.holder,Clothing,Shoes,NY,
Anthony Brands,5468,1072,755,http://bit.ly/2Rj2ycx,TRUE,Personal Goods & General Merchandise Stores,anthonyskincare,frankygarcia048,danny_paid001,_luissimo1__,_omaredaoudi_,hunternance_,Beauty,Skincare,,
Dante,5599,381,1446,https://youtu.be/uPfQGAAkUJA,TRUE,Personal Goods & General Merchandise Stores,dante_men,rahul_explores,liaosauce,chrissie_v92,lucianoartecr,fockenberg,Clothing,Men,Greece,
Aarni Wooden Watches & Eyewear,5625,1788,327,https://aarniwood.com/,TRUE,Personal Goods & General Merchandise Stores,aarniwood,ahmedsafaasami,s_u_v_i_k,the_word_of_revival_john3.16,kretzuuuu,m.takanen,Clothing,Watch,,
Create your own watch,6022,116,977,http://www.boomwatches.com/,TRUE,Personal Goods & General Merchandise Stores,boomwatches,yuehanhuang252,ghechiroussama,to__eki,mamorupip,emeliebellring94,Clothing,Watch,,
Angelcare,6325,440,658,http://www.angelcarebaby.com/,TRUE,Personal Goods & General Merchandise Stores,angelcare,ida.einfach,u.naiavko,mumandme_app,caligirl1789,bebe1.ambre,Baby goods,,,
Dare 2b,6548,4812,1149,https://bit.ly/2wtwCcE,TRUE,Personal Goods & General Merchandise Stores,dare2b_sports,bradlawrencee,kernowjogger89,louise.perfect,sloobieskiwear,my_microadventures,Clothing,Athletic,,
