code,username,1_influencer
22408233,alala,0
44926421,chaps,0
52559843,kronaby,0
50013216,burton_menswear,0
24433842,amgreetings,0
72973314,aftershokz,0
34674639,footway,0
95648291,aunaturalelife,0
62643916,edys,0
15380822,baukjen,0
83914932,bfreefoods,0
48408477,bcproducts,0
32746775,dosenbach,0
54563128,frontrow,0
71145535,animaluk,0
62998515,alternahaircare,0
33121375,arashoes,0
42132524,digelofficial,0
97522225,elisestore,0
37374702,chimieyewear,0
69280657,ettika,0
52800402,algenist,0
68972607,btemptdbras,0
8616199,bambinomio,0
90733089,90degreebyreflex,0
5307096,dstld,0
98263717,aquishair,0
48567010,delphinethelabel,0
30105188,henrywatches,0
12524510,annabellecosmetics,0
60988315,auratenewyork,0
87366910,amorepacific_us,0
42601852,dreamsisterjane,0
73922954,aloette,0
91239394,bjornborg,0
62695602,brooklyncloth,0
88617721,bows_n_ties,0
50640140,daisy_jewellery,0
56921706,babyjogger,0
56339433,amaraliving,0
81205895,christ_juweliere,0
29446955,clairolcolor,0
40834452,byblumaan,0
12764426,bikinivillage,0
45724153,aventuraclothing,0
41100928,bookroo_love,0
42099907,boironusa,0
28534207,bestsecret,0
914453,alphahskincare,0
28375463,appaman,0
33874045,ellypistol,0
84777830,chiglo_official,0
67468389,24hourfitness,0
93272251,drdenim,0
1162279,beechnutfoods,0
38427034,fragranceshopuk,0
2951303,brunobananiofficial,0
2413297,bewooden,0
32950893,closet_london,0
87719521,brunettethelabel,0
61871471,antonymcosmetics,0
55053820,aviatornation,0
84807797,alipearl_hair,0
48507733,bigelowtea,0
49140968,desiolens,0
86542224,brunomagliofficial,0
13517517,brunarossocom,0
24542817,antipodesskincare,0
25701775,anthonyskincare,0
6931302,centrerockland,0
4165706,annalouoflondon,0
44551665,champneysspas,0
10213233,hausofpinklemonaid,0
44682827,cstudiohome,0
47697030,babydelightinc,0
59476252,bandolierstyle,0
47159720,buddha_pants,0
32174996,argentovivo_us,0
1237531,bearkomplex,0
66115710,dressedinlucy,0
78890875,botanicsuk,0
24688426,dearjohndenim,0
94405591,apropos_store,0
58995451,bronxselectors,0
58507941,blackwoodformen,0
95678838,anonymedesigners,0
93000682,dakslondon,0
24677500,armedangels,0
16875222,changelingerie,0
48240598,hara_thelabel,0
37280192,boldtuesday,0
84921219,acemarksshoes,0
90098553,babobotanicals,0
26662425,antoineetlili,0
32396803,blauerusa,0
91147278,antlerofficial,0
5996139,4f_official,0
53942385,bullboxershoes,0
99132130,2poodperformance,0
17914007,bitchnbrows,0
9537346,dare2b_sports,0
54177280,charbroilgrills,0
20447953,abhair_official,0
48895863,chinatownlondon,0
15145106,bornfootwear,0
65369116,amyjunelashes,0
94176401,bijoux_7bis,0
51977844,extriwatch,0
23124854,ducielondon,0
64712870,elliemaestudios,0
88252356,belsire_official,0
47566453,america_today,0
61047939,asodara,0
12177576,24iceland,0
50176623,bamboobies,0
59286932,balneaspa,0
98872548,basicappareldk,0
99623391,bkfootwear_official,0
20750057,brastop,0
88271217,changit_official,0
61570209,bambrows,0
70176672,cloudninec9,0
14700197,btemptduk,0
35231708,beringtime,0
79953595,acnefree,0
8513486,avlon,0
82341247,cdlp,0
4531742,devotelondon,0
5714079,acmemarkets,0
23848529,activeedgeofficial,0
43769951,alexmonroejewellery,0
11498860,azellecollection_,0
58895811,dormezvousqc,0
85627400,bukibrand,0
52204281,azukanl,0
40118103,alfieristjohn_official,0
91536435,becausecosmetics,0
60198616,accuristwatches,0
79179210,dillysocks,0
79862239,alterreny,0
73419393,amazfit,0
2329084,huffer_,0
97044323,3wisheslingerie,0
10977987,dante_men,0
26239627,alwaysformellc,0
3212843,arsantesweden,0
34688910,denzelofsweden,0
45635303,aliasmaeusa,0
11063411,dukehyde,0
63221344,anerkjendt_dk,0
3334970,elevatedfaith,0
29771976,budesin,0
24399576,24bottles_official,0
39872879,cliphairlimited,0
27459667,chesterfieldbags,0
1926627,alessandrogillesofficial,0
62219884,acquadellelba,0
57379093,eternalfleur,0
49675993,annefontaine,0
39853017,abcdesign_com,0
93347975,afteredenlingerie,0
98492409,becycleberlin,0
17115627,chaiprotein,0
39516156,ateliersauguste,0
46059386,bankygirlcreations,0
66769500,almalabags,0
92662540,beehivecheese,0
41478804,borghesehongkong,0
53295196,alessandrointernational,0
91760325,acevestiti,0
33773531,arlowolfeyewear,0
49530691,afflelou_france,0
19318655,amyandbriancoconutwater,0
90428544,boomwatches,0
62924178,andmetics_official,0
66232356,apothecareessentials,0
9511412,arianeernstjewelry,0
39848725,alpenclassics,0
48339864,anniesvillage,0
16306258,abhatisuisse,0
43071243,abtelectronics,0
81166249,alimrose,0
2264368,clekinc,0
25056049,2jewelsofficial,0
96427780,bbhugme,0
55472882,airfield_fashion,0
1117643,900shops,0
73207735,25apparel,0
73518347,ablyapparel,0
36383192,abicyclettefr,0
57190704,blackhorselane,0
97697754,alan_stokes,1
55540422,naturallybeautifulkat,1
90186701,maximilian.julius,1
88797571,chiapiscedda,1
82887915,gurjsohanpal,1
33736661,travelwithcorvus,1
14708685,marcustroy,1
69474924,esteelalonde,1
53433659,cleanfreshbeauty,1
48145833,bethgoodrham_stylist,1
24055042,emilygellis,1
8946587,shes_gorjess,1
55580095,menstylefashionblog,1
25979917,finnerz.uk,1
65839229,scimmietta_in_love,1
22470816,julian_green108,1
58690741,ntinos_siahamis,1
51016002,morenadiaz,1
80221000,nicotrudelle,1
98656060,adelianerys,1
9578576,haileypham,1
75742869,paradisedonnie,1
70497587,styleandstylus,1
1438030,emanuele_bonomini,1
66772752,hayleynoellexo,1
73154659,taniamotuzas,1
40831635,jennymitreva,1
73931140,spamellab,1
86773975,joshmarunde,1
86379879,trendy.dianou,1
70054749,philly.stokes,1
15047085,tiffany.louise,1
