,brands,influencers
4,48507733,10376968
26,24433842,77489837
30,48507733,6890416
43,22408233,67950574
44,48507733,92880090
45,44926421,17397492
46,22408233,67950574
50,22408233,67950574
58,10213233,8946587
60,47159720,13587633
66,28375463,48055554
74,5714079,30271522
81,62643916,37459987
82,10213233,8946587
86,37374702,61494872
93,47159720,2641746
104,47159720,59231279
116,2329084,90149790
119,62643916,97222304
130,22408233,90106091
148,48567010,29648481
152,48895863,21243568
159,79179210,89376945
163,47159720,13587633
168,90733089,43498890
171,79179210,89376945
173,65369116,5306201
186,64712870,14456333
189,71145535,3473760
201,65369116,9568314
203,71145535,3473760
205,28375463,62413425
207,32950893,26478928
212,81205895,82727408
219,40118103,12316924
223,40118103,12316924
226,2329084,45336663
232,65369116,16119264
235,1237531,94455999
257,71145535,3473760
259,25056049,23962115
269,41100928,65327501
274,55053820,39321944
275,30105188,73944218
298,37374702,77076837
319,50176623,29332800
322,88617721,28157827
332,11498860,59853131
334,90733089,67227966
341,22408233,31755190
354,22408233,29020779
382,41100928,93129045
383,62695602,80221000
384,28375463,22609279
385,52559843,63808137
386,84807797,58387730
388,93272251,62578393
393,54177280,83294544
394,62695602,80221000
398,34688910,9021752
400,42132524,76222297
405,62695602,80221000
407,15145106,43816348
413,914453,30018161
414,99132130,86773975
418,40834452,75742869
420,54177280,30376549
422,62924178,44605967
429,61047939,74832408
430,95648291,33021081
457,22408233,16522765
465,6931302,19150837
470,30105188,11610652
473,22408233,16522765
491,54177280,60224561
499,12764426,24734277
500,52559843,21947089
508,52559843,21947089
516,99132130,86773975
519,5307096,12726080
527,93272251,2725978
531,71145535,70054749
532,24688426,45482935
549,99132130,86773975
558,32746775,51016002
559,5996139,49892734
561,93272251,12380678
571,71145535,70054749
576,59286932,70015244
577,5996139,49892734
578,5307096,57737259
583,62998515,99344243
591,73922954,69984197
610,50013216,82887915
618,67468389,66039663
619,52559843,6754034
620,62643916,92055861
629,51977844,27959294
630,91239394,33761865
638,69280657,24617431
639,71145535,97697754
641,22408233,23656600
642,40834452,75742869
648,71145535,97697754
657,52559843,96381988
663,50013216,82887915
665,5996139,49892734
669,28375463,98501011
679,69280657,54331225
686,32746775,51016002
695,95648291,99761767
702,91147278,53365567
